trip_id,stop_id,delay_sec
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,841,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,609,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,1121,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,634,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,593,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,645,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,2546,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,354,
6428316-60_A_50_6001_12:10-PROJET2025-60-Semaine-08,635,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,2816,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,2653,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,488,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,540,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,563,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,807,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,916,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,2669,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,24,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,837,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,1377,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,992,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,486,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,778,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,94,
6327196-17_R_99_1701_12:19-SETP2025-17-L-Ma-J-V-35,894,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,2826,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,782,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,756,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,666,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,289,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,638,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,938,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,707,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,483,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,1167,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,508,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,1373,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,295,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,1375,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,1460,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,628,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,824,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,56,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,762,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,607,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,1130,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,1212,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,552,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,206,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,298,
6403291-36_R_99_3604_11:32-SETP2025-36-Semaine-33,1519,
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,2962,
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,21543,
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,5250,
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,5251,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,2826,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,773,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,800,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,509,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,525,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,712,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,363,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,708,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,709,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,937,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1247,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,2988,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,326,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,304,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,479,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1063,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1349,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1017,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1297,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,458,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,457,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,48,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,986,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1354,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,2803,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1179,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,14,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1381,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,312,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,148,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,98,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,86,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,313,
6409605-57_R_99_5711_11:10-SETP2025-57-Semaine-06,1150,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,2685,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,314,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,87,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,703,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,2588,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,497,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1019,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1180,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,705,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,768,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,883,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,928,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,58,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,113,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,258,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1322,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1097,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,310,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1284,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,86,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,313,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,2827,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,963,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,431,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,948,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,811,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,794,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1004,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1201,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,1147,
6369686-30_R_99_3001_11:18-SETP2025-30-Semaine-32,2685,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7233,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7153,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7104,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7055,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7174,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7043,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7128,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7155,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,7161,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,134,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,568,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,654,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,1008,
6252988-14_A_50_1403_12:04-SETP2025-14-L-Ma-J-V-38,774,
